,ANZSCO_TITLE,ANZSCO_CODE,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
22,"Engineering, ICT and Science Technicians",31,4781,4804,5406,5138,5229,4944,5116,4914,4987,4880,4713,4195,4159,4323,4558,3517,2667,2339,2960,3345,3716,3928,4186,3991,4142,4500,5414,5697,5905,5796,5956,5934,5991,6112,6258,5723,5728,5897,6952,6866,6973,6624,6757,6735,6641,6547,6254,5604,5700,5881,6869,6593,6692,6413,6665,6677,6593,6581,6135,5424,5277,5416,6033,5875,5771,5420,5368,5221,5273,5323,5038,4417,4394,4532,5209,4978,4988,4880,5036,5008,4993,5021,4872
23,Automotive and Engineering Trades,32,6669,6615,7466,6865,6934,6650,7124,7115,7230,7094,6641,5777,5684,5722,5893,4541,3761,3836,4879,5526,6093,6606,7077,6683,7031,7552,8959,9111,9266,9145,9181,9049,8925,9134,9499,8793,9046,9357,10925,10542,10640,10438,10967,11231,11242,11252,10907,9869,10320,10741,12648,12194,12562,12049,12522,12343,12218,12148,11566,10272,10199,10380,11165,10692,10575,10289,10319,10008,10214,10116,9678,8595,8702,8777,9734,9014,9138,8900,9257,9029,9067,9083,8785
24,Construction Trades,33,2039,2006,2276,2080,2102,1994,2088,2068,2160,2214,2110,1811,1745,1802,1883,1453,1257,1466,1941,2214,2414,2712,2930,2705,2757,2907,3513,3597,3733,3628,3612,3487,3538,3733,3915,3496,3557,3672,4393,4124,4082,3873,3957,3998,3936,3935,3705,3182,3329,3453,4118,3826,3893,3732,3924,3901,3982,4030,3805,3219,3142,3178,3472,3260,3195,3199,3262,3311,3437,3564,3373,2889,2879,3022,3464,3227,3267,3241,3497,3498,3642,3672,3524
25,Electrotechnology and Telecommunications Trades,34,2639,2588,2889,2663,2600,2462,2559,2555,2656,2736,2694,2432,2393,2407,2390,1769,1333,1269,1563,1771,2036,2336,2580,2475,2596,2722,3137,3067,3136,3088,3282,3338,3448,3673,3865,3616,3666,3775,4386,4172,4203,4089,4297,4379,4369,4353,4178,3709,3842,3933,4490,4145,4210,4064,4325,4394,4493,4573,4364,3793,3788,3840,4184,3910,3856,3768,3839,3801,3891,3929,3774,3390,3453,3512,3911,3611,3560,3473,3671,3637,3772,3873,3863
26,Food Trades,35,3890,3807,4072,3656,3552,3285,3490,3701,4159,4461,4439,3968,3763,3610,3356,2208,1527,1730,2490,2862,3207,3972,4893,5045,5224,5242,6122,6371,6698,6319,5861,5181,5136,6133,7314,7379,6974,6753,7877,8222,8737,8553,8483,8451,8313,8413,7985,6939,6612,6276,6779,6144,6065,5588,5574,5519,5764,6180,6088,5599,5330,5158,5277,5026,4880,4596,4599,4824,5468,6196,6213,5542,4897,4499,4709,4422,4460,4230,4256,4216,4643,4949,4960
27,Skilled Animal and Horticultural Workers,36,937,926,1044,923,886,782,785,786,882,988,999,865,823,807,829,613,502,540,706,846,993,1178,1308,1214,1236,1292,1509,1480,1424,1305,1298,1314,1428,1599,1714,1585,1588,1648,1905,1764,1689,1558,1586,1659,1717,1803,1775,1581,1624,1613,1846,1662,1606,1462,1481,1503,1568,1666,1629,1428,1462,1562,1737,1605,1462,1326,1277,1338,1524,1685,1660,1444,1482,1516,1665,1518,1468,1377,1410,1461,1635,1739,1688
28,"Hairdressers, Printing, Clothing and Wood Trades",3A,964,985,1161,1050,1069,990,1056,1054,1188,1278,1214,985,910,896,882,569,486,623,951,1092,1293,1499,1576,1347,1293,1372,1654,1625,1608,1514,1429,1344,1349,1557,1660,1456,1383,1439,1757,1663,1668,1576,1604,1598,1609,1649,1513,1247,1274,1334,1553,1363,1345,1295,1359,1392,1418,1446,1300,1075,1067,1116,1264,1168,1157,1111,1102,1098,1190,1240,1173,967,989,1021,1167,1054,1063,1052,1114,1122,1186,1203,1122
29,"Jewellers, Arts and Other Trades Workers",3B,601,641,716,648,611,587,621,630,668,655,628,539,542,559,580,426,324,344,482,599,698,779,781,691,700,770,940,957,979,936,975,968,1008,1030,1090,999,1027,1138,1490,1433,1418,1225,1426,1630,1865,1981,1916,1626,1570,1566,1853,1759,1776,1721,1796,1861,1818,1814,1705,1518,1475,1501,1664,1664,1653,1601,1569,1545,1661,1790,1726,1432,1340,1320,1451,1367,1365,1395,1446,1396,1410,1455,1483
30,COMMUNITY AND PERSONAL SERVICE WORKERS,4,13797,13537,15034,14050,14410,14066,15073,15498,16409,16693,15922,13830,13301,12934,12938,9379,7479,8253,11319,13359,14671,16201,17941,17337,17735,17975,21166,22302,23524,22957,22259,20805,20864,23939,27823,27623,26519,25907,30025,30663,32632,32671,34095,35419,35335,35862,34013,30083,28753,27960,31735,30448,30704,29284,30340,30857,31043,31233,29457,26285,25611,24985,26798,25854,26081,24835,24404,24229,25205,25987,25250,22069,20440,18933,20252,18997,19280,19017,20125,20418,21628,22136,21553
31,Health and Welfare Support Workers,41,1318,1405,1572,1444,1424,1398,1479,1479,1529,1503,1447,1260,1304,1282,1328,1026,940,1063,1401,1607,1784,1890,1996,1845,1900,1956,2289,2346,2430,2429,2540,2522,2567,2632,2793,2629,2583,2545,2867,2818,2909,2892,3071,3202,3198,3185,3065,2789,2902,2989,3419,3204,3187,3002,3059,3073,3044,3061,2926,2684,2750,2809,3052,2953,2934,2758,2705,2612,2712,2774,2712,2440,2468,2468,2703,2494,2513,2458,2646,2592,2705,2652,2602
32,Carers and Aides,42,6336,6189,6792,6410,6711,6686,7095,7061,7190,7272,6990,6242,6018,5850,6019,4716,4082,4465,5885,6941,7427,7815,8106,7625,7639,7724,8912,9300,9686,9629,9760,9718,9965,10677,11815,11510,11484,11238,12643,12488,13409,13500,14299,14782,15023,15500,15258,13888,13568,12957,14474,13809,14027,13542,13952,14242,14551,15275,15113,13492,12860,12347,13284,12777,12796,12312,12046,11942,12467,13156,13098,11525,10911,10181,11027,10341,10495,10502,11069,11257,11816,12145,11841
